Date,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,Rain_Today_Flag,Rain_Tomorrow_Flag,WindGust_Reliable,Year,Month,MonthName,YearMonth,Quarter,DayOfYear,Season,TempMean,TempRange,WindSpeedAvg,HumidityAvg,PressureAvg,Rain_Category,WindGustDir_Deg,MaxTemp_Anomaly,MinTemp_Anomaly,MaxTemp_Z,MinTemp_Z,Temp_Anomaly_Flag,Heavy_Rain_Flag,Strong_Gust_Flag,WarmSpell_Flag,Gap_Days_Before
2008-02-01,19.5,22.4,15.6,6.2,0.0,,,S,SSW,17,20,92,84,1017.6,1017.4,8,8,20.7,20.9,Yes,Yes,1,1,0,2008,2,Feb,2008-02-01,Q1,32,Été,20.95,2.8999999999999986,18.5,88.0,1017.5,Modérée (10-30),,-4.4807843137254935,-0.6862745098039227,-1.4063641455989662,-0.3271331252248787,,0,0,0,0
2008-02-02,19.5,25.6,6.0,3.4,2.7,,,W,E,9,13,83,73,1017.9,1016.4,7,7,22.4,24.8,Yes,Yes,1,1,0,2008,2,Feb,2008-02-01,Q1,33,Été,22.55,6.100000000000001,11.0,78.0,1017.15,Faible (1-10),,-1.2807843137254906,-0.6862745098039227,-0.4019941623950833,-0.3271331252248787,,0,0,0,0
2008-02-03,21.6,24.5,6.6,2.4,0.1,,,ESE,ESE,17,2,88,86,1016.7,1015.6,7,8,23.5,23.0,Yes,Yes,1,1,0,2008,2,Feb,2008-02-01,Q1,34,Été,23.05,2.8999999999999986,9.5,87.0,1016.1500000000001,Faible (1-10),,-2.380784313725492,1.4137254901960787,-0.7472463441214182,0.6738942379632492,,0,0,0,0
2008-02-04,20.2,22.8,18.8,2.2,0.0,,,NNE,E,22,20,83,90,1014.2,1011.8,8,8,21.4,20.9,Yes,Yes,1,1,0,2008,2,Feb,2008-02-01,Q1,35,Été,21.5,2.6000000000000014,21.0,86.5,1013.0,Modérée (10-30),,-4.080784313725491,0.013725490196076606,-1.2808178976984803,0.006542662504496693,,0,0,0,0
2008-02-05,19.7,25.7,77.4,4.8,0.0,,,NNE,W,11,6,88,74,1008.3,1004.8,8,8,22.5,25.5,Yes,Yes,1,1,0,2008,2,Feb,2008-02-01,Q1,36,Été,22.7,6.0,8.5,81.0,1006.55,Forte (>30),,-1.1807843137254928,-0.4862745098039234,-0.37060760041996266,-0.23179718587362882,,1,0,0,0
2008-02-06,20.2,27.2,1.6,2.6,8.6,,,W,ENE,9,22,69,62,1002.7,998.6,6,6,23.8,26.0,Yes,Yes,1,1,0,2008,2,Feb,2008-02-01,Q1,37,Été,23.7,7.0,15.5,65.5,1000.6500000000001,Faible (1-10),,0.31921568627450725,0.013725490196076606,0.10019082920685704,0.006542662504496693,,0,0,0,0
2008-02-07,18.6,26.3,6.2,5.2,5.2,,,W,S,15,15,75,80,999.0,1000.3,4,7,21.7,22.3,Yes,Yes,1,1,0,2008,2,Feb,2008-02-01,Q1,38,Été,22.450000000000003,7.699999999999999,15.0,77.5,999.65,Faible (1-10),,-0.5807843137254913,-1.5862745098039213,-0.18228822856923432,-0.756144852305504,,0,0,0,0
2008-02-08,17.2,22.3,27.6,5.8,2.1,,,S,SE,7,15,77,61,1008.3,1007.4,7,8,18.9,21.1,Yes,Yes,1,1,0,2008,2,Feb,2008-02-01,Q1,39,Été,19.75,5.100000000000001,11.0,69.0,1007.8499999999999,Modérée (10-30),,-4.580784313725491,-2.9862745098039234,-1.4377507075740867,-1.4234964277642563,,0,0,0,0
2008-02-09,16.4,20.8,12.6,4.8,3.0,,,SSW,W,19,9,92,91,1006.4,1007.6,7,7,17.1,16.5,Yes,Yes,1,1,0,2008,2,Feb,2008-02-01,Q1,40,Été,18.6,4.400000000000002,14.0,91.5,1007.0,Modérée (10-30),,-6.080784313725491,-3.786274509803924,-1.9085491372009065,-1.8048401851692577,,0,0,0,0
2008-02-10,14.6,24.2,8.8,4.4,10.1,,,W,SSE,11,20,80,53,1014.0,1013.4,4,2,17.2,23.3,Yes,No,1,0,0,2008,2,Feb,2008-02-01,Q1,41,Été,19.4,9.6,15.5,66.5,1013.7,Faible (1-10),,-2.6807843137254928,-5.586274509803923,-0.8414060300467824,-2.662863639330509,,0,0,0,0
